Titre	Artiste	Quebec		Année	Style
Numb	Linkin Park				
Somewhere I Belong	Linkin Park				
Waiting for the End	Linkin Park				
What I've Done	Linkin Park				
Made of Scares	Stone Sour				
Say You'll Haunt Me	Stone Sour				
Through Glass	Stone Sour				
Blue Jean	David Bowie				
Fame	David Bowie				
Modern Love	David Bowie				
Young Americans	David Bowie				
Ziggy Stardust	David Bowie				
London Calling	The Clash				
Brand New Cadillac	The Clash				
Jimmy Jazz	The Clash				
Hateful	The Clash				
Rudie Can't Fail	The Clash				
Spanish Bombs	The Clash				
The Right Profile	The Clash				
Lost in the Supermarket	The Clash				
Clampdown	The Clash				
The Guns of Brixton	The Clash				
Wrong 'Em Boyo	The Clash				
Death or Glory	The Clash				
Koka Kola	The Clash				
The Card Cheat	The Clash				
Lover's Rock	The Clash				
Four Horsemen	The Clash				
I'm Not Down	The Clash				
Revolution Rock	The Clash				
Bend Down Low	Bob Marley and The Wailers				
Burnin' and Lootin'	Bob Marley and The Wailers				
Coming in From The Cold	Bob Marley and The Wailers				
Kaya	Bob Marley and The Wailers				
Lively Up Yourself	Bob Marley and The Wailers				
No More Trouble	Bob Marley and The Wailers				
Small Axe	Bob Marley and The Wailers				
Them Belly Full (But We Hungry)	Bob Marley and The Wailers				
Obsession	Animotion				
Airplanes	B.o.B feat. Hayley Williams				
Total Eclipse of the Heart	Bonnie Tyler				
Don't You Want Me	The Human League				
Need You Now	Lady Antebellum				
Paradise by the Dashboard Light	Meat Loaf				
Stop Draggin' My Heart Around	Stevie Nicks & Tom Petty and The Heartbreakers				
Fire and Ice	Pat Benatar				
Love Is a Battlefield	Pat Benatar				
Shadows of the Night	Pat Benatar				
We Belong	Pat Benatar				
Invincible	Pat Benatar				
Promises in the Dark	Pat Benatar				
Terrible Lie	Nine Inch Nails				
Head Like a Hole	Nine Inch Nails				
Sanctified	Nine Inch Nails				
The Only Time	Nine Inch Nails				
Never Let Me Down Again	Depeche Mode				
Personal Jesus	Depeche Mode				
Policy of Truth	Depeche Mode				
I Will Possess Your Heart	Death Cab for Cutie				
Shooting the Moon	OK Go				
Every Breath You Take	The Police				
So Lonely	The Police				
Spill the Wine	War				
I Go to Extremes	Billy Joel				
Miami 2017 (Seen the Lights Go Out on Broadway)	Billy Joel				
My Life	Billy Joel				
Prelude/Angry Young Man	Billy Joel				
Scenes from an Italian Restaurant	Billy Joel				
She's Always a Woman	Billy Joel				
Somebody to Love	Jefferson Airplane				
Spinning Wheel	Blood, Sweet & Tears				
Black Magic Woman	Carlos Santana				
Through the Fire and Flames	DragonForce				
Operation Ground and Pound	DragonForce				
The Loco-Motion	Grand Funk Railroad (original by Little Eva)				
We're an American Band	Grand Funk Railroad				
Freeze-Frame	The J. Geils Band				
Love Will Tear Us Apart	Joy Division				
Dreams	Fleetwood Mac				
Gold Dust Woman	Fleetwood Mac				
Landslide	Fleetwood Mac				
Rhiannon	Fleetwood Mac				
Edge of Seventeen	Stevie Nicks				
Stand Back	Stevie Nicks				
Breaking	Anberlin				
Blood and Thunder	Mastodon				
Fire	Ohio Players				
Love Rollercoaster	Ohio Players				
Must Have Done Something Right	Relient K				
867-5309/Jenny	Tommy Tutone				
Blue Bayou	Roy Orbison				
Dream Baby (How Long Must I Dream)	Roy Orbison				
Only the Lonely (Know the Way I Feel)	Roy Orbison				
Rock and Roll All Nite (Live)	KISS				
Strutter (Live)	KISS				
Do You Really Want to Hurt Me	Culture Club				
From Out of Nowhere	Faith No More				
Working for the Weekend	Loverboy				
Stash	Phish				
Tweezer	Phish				
Big Bang Baby	Stone Temple Pilots				
Long Road to Ruin	Foo Fighters				
Rope	Foo Fighters				
Stacked Actors	Foo Fighters				
Walk	Foo Fighters				
Hard Rock Hallelujah	Lordi				
King of Rock	Run-DMC				
Five Minutes Alone	Pantera				
Walk	Pantera				
Mouth for War	Pantera				
I'm Broken	Pantera				
Do You Feel Like We Do (Live)	Peter Frampton				
Born This Way	Lady Gaga				
Lovegame	Lady Gaga				
Paparazzi	Lady Gaga				
Hot Blooded	Foreigner				
Urgent	Foreigner				
Mr. Crowley	Ozzy Osbourne				
Over the Mountain	Ozzy Osbourne				
Bark at the Moon	Ozzy Osbourne				
Mama, I'm Coming Home	Ozzy Osbourne				
Steal Away (The Night)	Ozzy Osbourne				
Flying High Again	Ozzy Osbourne				
Diary of a Madman	Ozzy Osbourne				
I Don't Know	Ozzy Osbourne				
Grenade	Bruno Mars				
Just the Way You Are	Bruno Mars				
Marry You	Bruno Mars				
Audience of One	Rise Against				
Help Is on the Way	Rise Against				
The Good Left Undone	Rise Against				
Take on Me	A-ha				
Unholy Confessions	Avenged Sevenfold				
Welcome to the Family	Avenged Sevenfold				
Tubthumping	Chumbawamba				
I Alone	Live				
Lightning Crashes	Live				
Misery	Maroon 5				
This Love	Maroon 5				
Won't Go Home Without You	Maroon 5				
Blurry	Puddle of Mudd				
Control	Puddle of Mudd				
She Hates Me	Puddle of Mudd				
Here Without You	3 Doors Down				
When I'm Gone	3 Doors Down				
When You're Young	3 Doors Down				
Nothin' But a Good Time	Poison				
Talk Dirty to Me	Poison				
Unskinny Bop	Poison				
For What It's Worth	Buffalo Springfield				
Man on the Moon	R.E.M.				
Aerials	System of a Down				
Hypnotize	System of a Down				
Turning Japanese	The Vapors				
A Little Respect	Erasure				
Relax	Frankie Goes To Hollywood				
Boom	P.O.D.				
Young of the Nation	P.O.D.				
Blow Up the Outside World	Soundgarden				
Burden in My Hand	Soundgarden				
Fell on Black Days	Soundgarden				
Outshined	Soundgarden				
Rusty Cage	Soundgarden				
The Day I Tried to Live	Soundgarden				
Heart of the Sunrise	Yes				
I've Seen All Good People	Yes				
Owner of a Lonely Heart	Yes				
South Side of the Sky	Yes				
Starship Trooper	Yes				
Make Some Noise	Beastie Boys				
No Sleep Till Brooklyn	Beastie Boys				
Barracuda	Heart				
Super Bad, Pts. 1 & 2	James Brown				
Tell Me Something Good	Rufus feat. Chaka Khan				
Animal (Live)	Def Leppard				
Bringin' On the Heartbreak	Def Leppard				
Photograph	Def Leppard				
Pour Some Sugar on Me (Live)	Def Leppard				
Rock of Ages	Def Leppard				
Undefeated	Def Leppard				
Dance, Dance	Fall Out Boy				
Sugar, We're Goin Down	Fall Out Boy				
Thnks fr th Mmrs	Fall Out Boy				
Child in Time	Deep Purple				
Adolescents	Incubus				
Pardon Me	Incubus				
Wish You Were Here	Incubus				
By the Way	Red Hot Chili Peppers				
Californication	Red Hot Chili Peppers				
Look Around	Red Hot Chili Peppers				
Monarchy of Roses	Red Hot Chili Peppers				
Otherside	Red Hot Chili Peppers				
Parallel Universe	Red Hot Chili Peppers				
Scar Tissue	Red Hot Chili Peppers				
The Adventures of Rain Dance Maggie	Red Hot Chili Peppers				
I Want You to Want Me (Live)	Cheap Trick				
Surrender (Live)	Cheap Trick				
Dream Police	Cheap Trick				
Unbelievable	EMF				
Me and Bobby McGee	Janis Joplin and the Full Tilt Boogie Band				
Hash Pipe	Weezer				
Island in the Sun	Weezer				
Perfect Situation	Weezer				
Heart-Shaped Box	Nirvana				
Rape Me	Nirvana				
All Apologies	Nirvana				
You Know You're Right	Nirvana				
Wait and Bleed	Slipknot				
Left Behind	Slipknot				
Pulse of the Maggots	Slipknot				
Snuff	Slipknot				
Gold Cobra	Limp Bizkit				
Nookie	Limp Bizkit				
My Way	Limp Bizkit				
Re-Arranged	Limp Bizkit				
Rock the Casbah	The Clash				
The Party Song	Blink-182				
Stay Together for the Kids	Blink-182				
Up All Night	Blink-182				
Yellow	Coldplay				
The Scientist	Coldplay				
Clocks	Coldplay				
Fix You	Coldplay				
Viva La Vida	Coldplay				
Every Teardrop Is a Waterfall	Coldplay				
I Believe in a Thing Called Love	The Darkness				
Living Dead Girl	Rob Zombie				
Thunder Kiss '65	White Zombie				
Super-Charger Heaven	White Zombie				
Sooner or Later	Breaking Benjamin				
Breath	Breaking Benjamin				
Until the End	Breaking Benjamin				
Forever	Papa Roach				
Single White Female (RB3 version)	Chely Wright				
Giddy on Up (RB3 version)	Laura Bell Bundy				
The Night The Lights Went Out in Georgia (RB3 version)	Reba McEntire				
Party For Two (RB3 version)	Shania Twain feat. Billy Currington				
Settlin' (RB3 version)	Sugarland				
That's How Country Boys Roll (RB3 version)	Billy Currington				
Awful Beautiful Life (RB3 version)	Darryl Worley				
Man of Me (RB3 version)	Gary Allan				
Twang (RB3 version)	George Strait				
Ring of Fire (RB3 version)	Johnny Cash				
Backwoods (RB3 version)	Justin Moore				
Alright (RB3 version)	Darius Rucker				
Sideways (RB3 version)	Dierks Bentley				
Kiss a Girl (RB3 version)	Keith Urban				
Perfect Day (RB3 version)	Lady Antebellum				
Rain Is a Good Thing (RB3 version)	Luke Bryan				
Mama Tried (RB3 version)	Merle Haggard				
Ride (RB3 version)	Trace Adkins				
Intentional Heartache (RB3 version)	Dwight Yoakam				
Crazy Town (RB3 version)	Jason Aldean				
Summer Nights (RB3 version)	Rascal Flatts				
Superstition	Stevie Wonder				
Higher Ground	Stevie Wonder				
Living for the City	Stevie Wonder				
Sir Duke	Stevie Wonder				
I wish	Stevie Wonder				
How You Remind Me	Nickelback				
Someday	Nickelback				
Animals	Nickelback				
If Today Was Your Last Day	Nickelback				
This Means War	Nickelback				
On the Backs of Angels	Dream Theater				
Ghost of Perdition	Opeth				
In Waves	Trivium				
We Built This City	Starship				
Seven Seas of Rhye	Queen				
Stone Cold Crazy	Queen				
I'm in Love With My Car	Queen				
You're My Best Friend	Queen				
Long Away	Queen				
Bicycle Race	Queen				
Don't Stop Me Now	Queen				
Radio Ga Ga	Queen				
The Show Must Go On	Queen				
Fly by Night	Rush				
Caravan	Rush				
The Spirit of Radio (Live)	Rush				
Rebel Love Song	Black Veil Brides				
A Warrior's Call	Volbeat				
Long Hot Summer Night	The Jimi Hendrix Experience				
Gypsy Eyes	The Jimi Hendrix Experience				
All Along The Watchtower	The Jimi Hendrix Experience (original by Bob Dylan)				
Voodoo Child (Slight Return) (Live)	Jimi Hendrix				
Dolly Dagger	Jimi Hendrix				
Freedom	Jimi Hendrix				
Angel	Jimi Hendrix				
You Make Me Feel...	Cobra Starship feat. Sabi				
Stereo Hearts	Gym Class Heroes feat. Adam Levine				
I Write Sins Not Tragedies	Panic! At The Disco				
Pressure	Paramore				
Panic	Sublime With Rome				
Billionaire	Travie McCoy feat. Bruno Mars				
2112	Rush				
2112: Overture, The Temple of Syrinx	Rush				
2112: Discovery, Presentation	Rush				
2112: Oracle: The Dream, Soliloquy, Grand Finale	Rush				
Private Eyes	Hall & Oates				
I Can't Go For That (No Can Do)	Hall & Oates				
Maneater	Hall & Oates				
Free Ride	Edgar Winter Group				
Frankenstein	Edgar Winter Group				
Freak on a Leash	Korn				
Falling Away From Me	Korn				
Lodi	Creedence Clearwater Revival				
Have You Ever Seen The Rain	Creedence Clearwater Revival				
Suzie Q	Creedence Clearwater Revival				
Fat Lip	Sum 41				
Still Waiting	Sum 41				
Head Over Heels	Tears for Fears				
Everything Zen	Bush				
Comedown	Bush				
Machinehead	Bush				
Alone	Heart				
To Be With You	Mr. Big				
Never Gonna Give You Up	Rick Astley				
Symphony of Destruction	Megadeth				
À Tout Le Monde	Megadeth				
Public Enemy No. 1	Megadeth				
Do You Believe in Love	Huey Lewis and The News				
The Heart of Rock & Roll	Huey Lewis and The News				
I Want a New Drug	Huey Lewis and The News				
Santa Monica	Everclear				
The Anthem	Good Charlotte				
Curl of the Burl	Mastodon				
The Good Life	Three Days Grace				
I Hate Everything About You	Three Days Grace				
Pain	Three Days Grace				
Down Under	Men At Work				
Overkill	Men At Work				
Smooth	Carlos Santana feat. Rob Thomas				
Second Chance	Shinedown				
The Crow and the Butterfly	Shinedown				
Bully	Shinedown				
Everybody's Fool	Evanescence				
Lithium	Evanescence				
What You Want	Evanescence				
Raining Blood	Slayer				
South of Heaven	Slayer				
Seasons in the Abyss	Slayer				
Get the Party Started	P!nk				
Funhouse	P!nk				
Please Don't Leave Me	P!nk				
Sober	P!nk				
Nobody's Fool	Cinderella				
Don't Know What You Gone (Till It's Gone)	Cinderella				
Shelter Me	Cinderella				
Two Tickets to Paradise	Eddie Money				
Only One	Yellowcard				
Drops of Jupiter	Train				
Bombtrack	Rage Against the Machine				
Killing in the Name	Rage Against the Machine				
Sleep Now in the Fire	Rage Against the Machine				
Ignorance	Paramore				
Brick by Boring Brick	Paramore				
The Only Exception	Paramore				
Phantom of the Opera	Iron Maiden				
The Prisioner	Iron Maiden				
Flight of Icuarus	Iron Maiden				
Rime of the Ancient Mariner	Iron Maiden				
Infinite Dreams	Iron Maiden				
Seventh Son of a Seventh Son	Iron Maiden				
Tears Don't Fall	Bullet For My Valentine				
Scream Aim Fire	Bullet For My Valentine				
Your Betrayal	Bullet For My Valentine				
Teen Angst (What the World Needs Now)	Cracker				
Dog Days Are Over	Florence + The Machine				
Power and the Passion	Midnight Oil				
Drive	Incubus				
The Adventure	Angels & Airwaves				
Fireflies	Owl City				
In My Head	Queens of the Stone Age				
Before He Cheats	Carrie Underwood				
Cowboy Casanova	Carrie Underwood				
Good Girl	Carrie Underwood				
Gonzo	The All-American Rejects				
Happy?	Mudvayne				
Satellite	Rise Against				
It's Not Over	Daughtry				
No Surprise	Daughtry				
Crawling Back To You	Daughtry				
Love Shack	The B-52's				
Not Again	Staind				
My Body	Young The Giant				
Helena Beat	Foster The People				
Don't Stop (Color on the Walls)	Foster The People				
Under Cover of Darkness	The Strokes				
The End of Heartache	Killswitch Engage				
The Arms of Sorrow	Killswitch Engage				
Starting Over	Killswitch Engage				
(I Just) Died in Your Arms	Cutting Crew				
Still of the Night	Whitesnake				
Crawling in the Dark	Hoobastank				
I Want to Know What Love Is	Foreigner				
Waiting For a Girl Like You	Foreigner				
Amaranth	Nightwish				
Tighten Up	The Black Keys				
Howlin' For You	The Black Keys				
Lonely Boy	The Black Keys				
One Week	Barenaked Ladies				
These Days	Foo Fighters				
Death on Two Legs (Dedicated to...)	Queen				
Breaking the Habit	Linkin Park				
Shadow of the Day	Linkin Park				
New Divide	Linkin Park				
Burn It Down	Linkin Park				
Bent	Matchbox Twenty				
How Far We've Come	Matchbox Twenty				
She's So Mean	Matchbox Twenty				
Days Go By	The Offspring				
Why Can't We Be Friends?	Smash Mouth (original by War)				
Can't Get Enough of You Baby	Smash Mouth				
Oh Love	Green Day				
Brain Stew/Jaded	Green Day				
Good Riddance (Time of Your Life)	Green Day				
Warning	Green Day				
Minority	Green Day				
Down	311				
Beautiful Disaster	311				
Amber	311				
I Ran (So Far Away)	A Flock of Seagulls				
The Stroke	Billy Squier				
Everybody Wants You	Billy Squier				
Come On Eileen	Save Ferris (original by Dexys Midnight Runners)				
All I Wanna Do	Sheryl Crow				
Animal I Have Become	Three Days Grace				
Make Me Smile	Chicago				
Feelin' Stronger Every Day	Chicago				
If You Leave Me Now	Chicago				
What I Got	Sublime				
Wrong Way	Sublime				
Santeria	Sublime				
Ants Marching	Dave Matthews Band				
Mercy	Dave Matthews Band				
So Much to Say	Dave Matthews Band				
I'm Alright	Kenny Loggins				
Footloose	Kenny Loggins				
Geek Stink Breath	Green Day				
Nice Guys Finish Last	Green Day				
Hitchin' a Ride	Green Day				
Sing of the Century	Green Day				
21st Century Breakdown	Green Day				
Before the Lobotomy	Green Day				
Last Night on Earth	Green Day				
Peacemaker	Green Day				
Murder City	Green Day				
¿Viva La Gloria? (Little Girl)	Green Day				
Restless Heart Syndrome	Green Day				
Horseshoes and Handgrenades	Green Day				
The Static Age	Green Day				
American Eulogy	Green Day				
See the Light	Green Day				
American Idiot	Green Day				
Jesus of Suburbia	Green Day				
Holiday	Green Day				
Boulevard of Broken Dreams	Green Day				
Are We the Waiting/St. Jimmy	Green Day				
Give Me Novacaine/She's a Rebel	Green Day				
Extraordinary Girl	Green Day				
Letterbomb	Green Day				
Wake Me Up When September Ends	Green Day				
Homecoming	Green Day				
Whatsername	Green Day				
Burnout	Green Day				
Having a Blast	Green Day				
Chump	Green Day				
Longview	Green Day				
Welcome to Paradise	Green Day				
Pulling Teeth	Green Day				
Basket Case	Green Day				
She	Green Day				
Sassafras Roots	Green Day				
When I Come Around	Green Day				
Coming Clean	Green Day				
Emenius Sleepus	Green Day				
In the End	Green Day				
F.O.D.	Green Day				
Jessica	The Allman Brothers Band				
The Weight (Live)	The Band				
Cold	Crossfade				
Cry Thunder	DragonForce				
I Melt With You	Modern English				
Closer	Nine Inch Nails				
Call Me Maybe	Carly Rae Jepsen				
Sex and Candy	Marcy Playground				
She Talks to Angels	The Black Crowes				
Remedy	The Black Crowes				
Sometimes Salvation	The Black Crowes				
Possum Kingdom	Toadies				
Away	Toadies				
Tyler	Toadies				
The Bitch is Back	Elton John				
Don't Let the Sun Go Down on Me	Elton John				
I'm Still Standing	Elton John				
Helena	My Chemical Romance				
Teenagers	My Chemical Romance				
Sing	My Chemical Romance				
Party Hard	Andrew W.K.				
Tonight Tonight	Hot Chelle Rae				
We Are Young	Fun feat. Janelle Monáe				
Raise Your Glass	P!nk				
Pumped Up Kicks	Foster The People				
Moves Like Jagger	Maroon 5 feat. Christina Aguilera				
Jessie's Girl	Rick Springfield				
I've Done Everything For You	Rick Springfield				
Don't Talk to Strangers	Rick Springfield				
Stronger (What Doesn't Kill You)	Kelly Clarkson				
Cult of Personality	Living Colour				
Spoonman	Soundgarden				
Metal Health (Bang Your Head)	Quiet Riot				
Walk This Way	Aerosmith				
Sweet Emotion	Aerosmith				
Dream On (Live)	Aerosmith				
Legendary Child	Aerosmith				
Love Alot	Aerosmith				
Back in the Saddle	Aerosmith				
The Wicker Man	Iron Maiden				
Once Bitten, Twice Shy	Great White				
So Far Away	Avenged Sevenfold				
More Than Words	Extreme				
Love Hurts	Nazareth (original by The Everly Brothers)				
Glory of Love	Peter Cetera				
Keep On Loving You	REO Speedwagon				
Tainted Love	Soft Cell (original by Gloria Jones)				
Shine	Collective Soul				
A Little Less Sixteen Candles, A Little More Touch Me	Fall Out Boy				
Got You (Where I Want You)	The Flys				
Silent Lucidity	Queensryche				
It's Been Awhile	Staind				
So Far Away	Staind				
Kids in the Street	The All-American Rejects				
Always	Blink-182				
Give It Away	Red Hot Chili Peppers				
Weird Science	Oingo Boingo				
Rosanna	Toto				
Diamond Eyes (Boom-Lay Boom-Lay Boom)	Shinedown				
Jungle Boogie	Kool & The Gang				
Shout	Tears for Fears				
Send the Pain Below	Chevelle				
The Red	Chevelle				
Face to the Floor	Chevelle				
American Pie	Don McLean				
R U Mine?	Arctic Monkeys				
Sheperd of Fire	Avenged Sevenfold				
Something from Nothing	Foo Fighters				
Rize of the Fenix	Tenacious D				
Back to the Shack	Weezer				
I Still Believe	Frank Turner				
Gimme Three Steps	Lynyrd Skynyrd			1973	Southern Rock
